age;sex;housing;job;savings_account;checking_account;credit_amount;duration;purpose;risk
35;female;own;2;high;NaN;3447;12;retraining;good
25;male;own;3;little;NaN;1258;24;business;good
52;male;own;3;little;NaN;717;12;television;good
35;male;rent;3;moderate;NaN;1204;6;car;good
26;male;own;3;little;high;1925;24;furniture;good
22;female;rent;3;little;NaN;433;18;television;bad
39;female;own;2;rich;little;666;6;car;good
46;female;own;2;little;high;2251;12;furniture;good
24;female;own;3;little;moderate;2150;30;car;bad
35;male;own;3;moderate;NaN;4151;24;furniture;good
24;male;own;3;NaN;moderate;2030;9;furniture;good
27;male;own;2;NaN;moderate;7418;60;television;good
35;male;own;2;little;NaN;2684;24;television;good
29;male;free;3;little;little;2149;12;television;bad
23;female;own;3;moderate;NaN;3812;15;car;good
57;female;own;2;moderate;NaN;1154;11;television;good
27;male;own;3;little;little;1657;12;furniture;good
55;female;own;3;little;little;1603;24;television;good
36;male;free;4;little;little;5302;18;car;good
57;female;free;2;little;NaN;2748;12;education;good
32;male;own;2;little;NaN;1231;10;car;good
37;male;own;3;little;moderate;802;15;television;bad
36;male;own;3;NaN;NaN;6304;36;business;good
38;female;own;3;little;NaN;1533;24;television;good
45;male;own;4;little;little;8978;14;car;bad
25;male;own;3;NaN;NaN;999;24;television;good
32;male;own;3;NaN;NaN;2662;18;car;good
37;female;rent;3;high;NaN;1402;12;furniture;good
36;male;free;4;NaN;moderate;12169;48;car;good
28;male;own;3;little;moderate;3060;48;television;bad
34;male;own;2;little;little;11998;30;repairs;bad
32;male;own;3;little;NaN;2697;9;television;good
26;female;own;3;little;NaN;2404;18;television;good
49;male;own;2;NaN;little;1262;12;furniture;good
32;female;own;3;little;NaN;4611;6;furniture;bad
29;male;rent;4;moderate;NaN;1901;24;television;good
23;male;rent;3;rich;NaN;3368;15;car;good
50;male;own;3;little;NaN;1574;12;furniture;good
49;male;own;2;NaN;high;1445;18;television;good
63;male;own;3;NaN;NaN;1520;15;furniture;good
37;male;own;3;moderate;moderate;3878;24;car;good
35;female;own;2;little;little;10722;47;car;good
26;male;own;3;little;little;4788;48;car;good
31;male;free;4;moderate;moderate;7582;48;car;good
49;female;own;3;little;moderate;1092;12;television;good
48;male;own;3;little;little;1024;24;television;bad
26;male;own;3;little;NaN;1076;12;business;good
28;male;rent;4;little;moderate;9398;36;car;bad
44;female;free;4;little;little;6419;24;car;good
56;male;free;3;little;high;4796;42;car;good
46;male;own;4;NaN;NaN;7629;48;business;good
26;female;own;3;little;moderate;9960;48;furniture;bad
20;female;rent;3;NaN;NaN;4675;12;car;good
45;male;own;2;NaN;NaN;1287;10;car;good
43;male;own;3;little;NaN;2515;18;furniture;good
32;male;own;3;rich;moderate;2745;21;furniture;good
54;female;own;1;little;NaN;672;6;car;good
42;female;own;3;little;moderate;3804;36;television;bad
37;male;own;2;NaN;high;1344;24;car;bad
49;male;own;3;little;little;1038;10;car;good
44;male;free;3;high;NaN;10127;48;car;bad
33;male;own;3;rich;NaN;1543;6;furniture;good
24;female;rent;2;NaN;NaN;4811;30;car;good
33;male;own;2;moderate;little;727;12;television;bad
24;female;own;3;little;moderate;1237;8;furniture;bad
22;male;rent;2;little;moderate;276;9;car;good
40;male;free;1;NaN;moderate;5381;48;car;good
25;male;own;3;moderate;NaN;5511;24;furniture;good
26;female;own;3;little;high;3749;24;furniture;good
25;male;own;2;little;moderate;685;12;car;bad
29;male;own;2;NaN;high;1494;4;car;good
31;male;own;3;little;little;2746;36;furniture;bad
38;male;own;2;little;little;708;12;furniture;good
48;female;own;2;NaN;moderate;4351;24;furniture;good
32;male;own;3;little;NaN;701;12;education;good
27;female;own;2;little;little;3643;15;furniture;good
28;male;own;4;little;moderate;4249;30;car;bad
32;male;own;3;little;little;1938;24;television;bad
34;male;free;4;little;little;2910;24;car;good
28;male;own;3;rich;little;2659;18;furniture;good
36;female;own;3;little;NaN;1028;18;car;good
39;male;own;2;little;little;3398;8;car;good
49;male;rent;3;NaN;NaN;5801;12;furniture;good
34;female;own;3;rich;NaN;1525;24;car;good
31;male;own;3;little;high;4473;36;television;good
28;male;own;3;little;moderate;1068;6;television;good
75;male;free;4;little;little;6615;24;car;good
30;female;own;3;moderate;NaN;1864;18;education;bad
24;female;own;4;moderate;moderate;7408;60;car;bad
24;female;rent;2;moderate;NaN;11590;48;car;bad
23;male;rent;3;little;little;4110;24;furniture;bad
44;male;rent;4;little;little;3384;6;furniture;bad
23;female;own;2;little;moderate;2101;13;television;good
24;female;rent;3;NaN;little;1275;15;domestics;bad
28;male;own;3;little;little;4169;24;furniture;good
31;male;own;2;little;moderate;1521;10;furniture;good
24;female;free;3;little;moderate;5743;24;education;good
26;female;rent;2;little;little;3599;21;furniture;good
25;male;rent;3;high;moderate;3213;18;television;good
33;male;own;4;little;moderate;4439;18;business;good
37;male;own;2;little;high;3949;10;car;good
43;female;own;2;little;NaN;1459;15;television;good
23;male;own;3;little;moderate;882;13;television;good
23;female;rent;1;high;moderate;3758;24;television;good
34;male;own;2;moderate;NaN;1743;6;business;good
32;male;free;3;rich;moderate;1136;9;education;bad
23;female;rent;3;little;NaN;1236;9;domestics;good
29;female;own;3;little;moderate;959;9;furniture;bad
38;male;own;4;NaN;NaN;3229;18;car;good
28;male;rent;3;little;little;6199;12;television;bad
46;male;free;3;high;NaN;727;10;education;good
23;male;own;2;little;moderate;1246;24;car;bad
49;male;own;3;NaN;NaN;2331;12;television;good
26;male;own;4;little;NaN;4463;36;television;bad
28;male;own;3;little;NaN;776;12;television;good
23;female;rent;3;little;little;2406;30;furniture;bad
61;male;free;3;NaN;moderate;1239;18;education;good
37;male;own;4;NaN;high;3399;12;television;good
36;female;own;3;little;high;2247;12;car;good
21;male;rent;3;little;NaN;1766;6;furniture;good
25;male;own;1;little;little;2473;18;furniture;bad
36;male;own;3;little;NaN;1542;12;business;good
27;male;own;3;little;NaN;3850;18;car;good
22;female;rent;3;little;little;3650;18;furniture;good
42;male;own;3;little;little;3446;36;furniture;bad
40;female;rent;3;little;moderate;3001;18;furniture;good
36;male;own;3;NaN;NaN;3079;36;car;good
33;male;own;3;little;NaN;6070;18;television;good
23;female;rent;3;little;NaN;2146;10;furniture;good
63;male;free;4;NaN;NaN;13756;60;car;good
60;female;free;4;moderate;moderate;14782;60;car;bad
37;female;rent;3;little;little;7685;48;business;bad
34;male;own;3;little;NaN;2320;18;television;good
36;male;free;3;NaN;NaN;846;7;television;good
57;male;free;4;little;moderate;14318;36;car;bad
52;female;own;2;moderate;NaN;362;6;car;good
39;male;own;3;NaN;little;2212;20;furniture;good
38;female;free;4;little;moderate;12976;18;car;bad
25;female;rent;3;NaN;NaN;1283;22;car;good
26;male;own;3;little;high;1330;12;car;good
26;male;own;2;moderate;NaN;4272;30;business;good
25;female;own;3;little;NaN;2238;18;television;good
21;female;rent;3;NaN;NaN;1126;18;television;good
40;male;own;4;little;moderate;7374;18;furniture;good
27;male;own;3;high;moderate;2326;15;business;good
27;female;own;3;little;NaN;1449;9;business;good
30;male;own;4;little;NaN;1820;18;car;good
19;female;rent;2;rich;moderate;983;12;furniture;good
39;male;free;4;little;little;3249;36;car;good
31;female;own;3;little;little;1957;6;television;good
31;male;own;4;little;NaN;2406;9;furniture;good
32;male;rent;3;moderate;moderate;11760;39;education;good
55;female;free;4;little;little;2578;12;furniture;good
46;male;own;3;little;little;2348;36;furniture;good
46;male;rent;3;little;moderate;1223;12;car;bad
43;female;own;2;rich;NaN;1516;24;television;good
39;male;own;3;little;NaN;1473;18;television;good
28;male;own;3;NaN;moderate;1887;18;business;good
27;male;own;3;little;NaN;8648;24;business;bad
27;male;own;2;little;NaN;802;14;car;good
43;male;own;3;NaN;moderate;2899;18;car;good
22;male;own;3;little;moderate;2039;24;television;bad
43;male;own;3;NaN;NaN;2197;24;car;good
27;male;own;3;little;little;1053;15;television;good
26;male;own;4;high;NaN;3235;24;television;good
28;male;own;3;high;high;939;12;car;bad
20;female;own;3;little;moderate;1967;24;television;good
35;male;own;4;little;NaN;7253;33;car;good
42;male;own;4;little;NaN;2292;12;business;bad
40;male;rent;2;high;NaN;1597;10;car;good
35;female;own;3;NaN;little;1381;24;car;bad
35;male;own;3;little;NaN;5842;36;car;good
33;male;own;2;little;little;2579;12;car;bad
23;female;rent;3;NaN;little;8471;18;education;good
31;female;own;4;high;NaN;2782;21;car;good
33;female;own;3;NaN;moderate;1042;18;car;bad
20;female;rent;3;rich;NaN;3186;15;car;good
30;male;own;3;NaN;moderate;2028;12;car;good
47;male;own;2;little;moderate;958;12;car;good
34;male;own;4;moderate;NaN;1591;21;furniture;good
25;female;own;3;NaN;moderate;2762;12;furniture;bad
21;male;rent;3;little;moderate;2779;18;car;good
29;male;own;3;little;NaN;2743;28;television;good
46;male;own;3;rich;NaN;1149;18;television;good
20;male;own;3;little;NaN;1313;9;furniture;good
55;female;free;1;little;little;1190;18;repairs;bad
74;male;own;2;little;NaN;3448;5;business;good
29;male;own;4;little;moderate;11328;24;car;bad
36;male;free;4;little;little;1872;6;furniture;good
33;male;own;3;little;NaN;2058;24;repairs;good
25;male;own;3;little;little;2136;9;furniture;good
25;male;own;3;NaN;moderate;1484;12;television;bad
23;male;rent;2;high;NaN;660;6;repairs;good
37;female;own;3;rich;NaN;1287;24;car;good
65;male;own;1;little;little;3394;42;repairs;good
26;female;own;1;little;high;609;12;business;bad
39;male;own;4;little;NaN;1884;12;car;good
30;female;own;3;little;little;1620;12;furniture;good
29;male;own;3;little;moderate;2629;20;car;good
41;male;own;2;little;NaN;719;12;education;bad
30;female;own;4;little;moderate;5096;48;furniture;bad
41;female;rent;2;NaN;NaN;1244;9;education;good
34;female;own;3;little;little;1842;36;car;bad
35;male;own;3;little;moderate;2576;7;television;good
55;female;own;4;NaN;high;1424;12;furniture;good
61;male;own;3;rich;moderate;1512;15;repairs;bad
30;male;own;4;NaN;NaN;11054;36;car;good
29;female;own;3;little;NaN;518;6;television;good
34;male;own;3;little;NaN;2759;12;furniture;good
35;male;own;4;little;NaN;2670;24;car;good
31;male;own;3;little;little;4817;24;car;bad
29;female;own;4;little;NaN;2679;24;car;good
36;male;rent;3;little;little;3905;11;car;good
35;male;free;3;little;little;3386;12;car;bad
27;female;own;3;little;little;343;6;domestics;good
32;male;own;3;little;NaN;4594;18;television;good
37;male;own;3;little;little;3620;36;furniture;good
36;male;own;3;little;little;1721;15;car;good
34;female;rent;4;little;moderate;3017;12;furniture;good
38;male;own;3;NaN;moderate;754;12;retraining;good
34;male;own;3;little;NaN;1950;18;business;good
63;male;own;3;little;little;2924;24;car;good
29;female;rent;2;little;little;1659;24;television;bad
32;male;own;3;NaN;NaN;7238;48;television;good
26;female;own;3;little;NaN;2764;33;business;good
35;male;own;2;little;NaN;4679;24;car;good
22;male;rent;3;moderate;moderate;3092;24;television;bad
23;female;own;3;little;little;448;6;education;bad
28;male;own;2;little;little;654;9;car;bad
36;male;own;4;NaN;NaN;1238;6;retraining;good
33;male;own;3;little;moderate;1245;18;television;bad
26;female;rent;3;little;little;3114;18;furniture;bad
24;male;own;3;high;NaN;2569;39;car;good
25;male;own;3;little;high;5152;24;television;good
39;male;own;2;moderate;moderate;1037;12;business;good
44;male;own;3;little;little;1478;15;furniture;good
23;female;own;2;little;moderate;3573;12;television;good
26;male;own;3;little;moderate;1201;24;car;good
57;female;rent;3;rich;little;3622;30;furniture;good
30;female;own;3;rich;NaN;960;15;furniture;good
44;male;own;3;high;NaN;1163;12;car;good
47;male;own;4;little;moderate;1209;6;car;bad
52;male;own;3;little;NaN;3077;12;television;good
62;female;free;3;little;NaN;3757;24;car;good
35;male;rent;2;moderate;NaN;1418;10;car;good
26;male;rent;3;little;NaN;3518;6;car;good
26;male;own;3;little;NaN;1934;12;television;good
42;female;free;4;little;moderate;8318;27;business;bad
27;female;own;3;moderate;NaN;1237;6;television;good
38;male;own;3;NaN;moderate;368;6;television;good
39;male;rent;2;little;little;2122;12;car;good
20;male;own;3;NaN;little;2996;24;furniture;bad
29;male;rent;4;moderate;moderate;9034;36;furniture;bad
40;male;own;3;little;NaN;1585;24;furniture;good
32;male;own;2;little;moderate;1301;18;television;good
28;male;own;3;moderate;high;1323;6;car;good
27;female;own;3;little;little;3123;24;car;bad
42;male;free;3;little;little;5493;36;car;good
49;male;own;3;moderate;high;1126;9;television;good
38;male;own;3;moderate;moderate;1216;24;television;bad
24;female;rent;3;little;little;1207;24;car;bad
27;male;own;2;NaN;NaN;1309;10;car;bad
36;male;own;3;high;high;2360;15;car;good
34;male;own;4;moderate;moderate;6850;15;car;bad
28;male;own;3;little;NaN;1413;24;television;good
45;male;own;4;moderate;NaN;8588;39;car;good
26;male;own;3;little;little;759;12;car;bad
32;male;free;4;little;NaN;4686;36;car;good
26;male;rent;3;little;high;2687;15;business;good
20;male;rent;3;little;moderate;585;12;television;good
54;male;own;3;NaN;NaN;2255;24;car;good
37;female;own;3;little;little;609;6;car;good
40;male;own;2;little;little;1361;6;car;good
23;female;rent;3;little;NaN;7127;36;furniture;bad
43;male;own;3;moderate;little;1203;6;car;good
36;male;free;3;NaN;NaN;700;6;television;good
44;male;free;3;little;NaN;5507;24;repairs;good
24;female;own;3;little;little;3190;18;television;bad
53;male;free;3;little;little;7119;48;furniture;bad
23;female;own;3;moderate;NaN;3488;24;car;good
26;female;own;2;little;moderate;1113;18;television;good
30;male;own;3;little;moderate;7966;26;car;good
31;female;own;3;moderate;NaN;1532;15;education;good
42;male;own;2;little;NaN;1503;4;television;good
31;male;rent;3;little;little;2302;36;television;bad
41;male;own;2;little;little;662;6;car;good
32;male;own;3;little;moderate;2273;36;education;good
28;female;rent;3;moderate;moderate;2631;15;car;bad
41;male;rent;3;little;NaN;1503;12;car;good
26;male;own;3;moderate;NaN;1311;24;television;good
25;male;own;3;NaN;NaN;3105;24;television;good
33;male;rent;3;little;high;2319;21;education;bad
75;female;own;4;NaN;little;1374;6;car;good
37;female;own;3;little;moderate;3612;18;furniture;good
42;male;free;4;little;little;7763;48;car;bad
45;female;own;2;little;high;3049;18;furniture;good
23;male;rent;3;little;moderate;1534;12;television;bad
60;male;free;3;little;NaN;2032;24;car;good
31;male;own;3;NaN;little;6350;30;furniture;bad
34;male;own;2;little;high;2864;18;furniture;bad
61;male;own;2;little;NaN;1255;12;car;good
43;male;free;3;little;little;1333;24;car;bad
37;female;own;3;little;NaN;2022;24;car;good
32;male;own;3;little;NaN;1552;24;television;good
24;female;own;2;little;little;626;12;television;bad
35;male;free;3;NaN;NaN;8858;48;car;good
23;female;own;3;NaN;NaN;996;12;repairs;good
45;male;own;2;high;NaN;1750;6;television;good
34;male;own;3;little;little;6999;48;television;bad
27;male;own;3;moderate;moderate;1995;12;car;good
67;female;own;4;little;moderate;1199;9;education;good
22;male;own;3;little;moderate;1331;12;television;bad
28;female;own;3;moderate;moderate;2278;18;car;bad
29;female;own;3;NaN;NaN;5003;21;car;bad
27;male;own;3;little;little;3552;24;furniture;bad
31;male;own;2;little;moderate;1928;18;furniture;bad
49;male;free;3;NaN;little;2964;24;car;good
24;male;rent;2;little;little;1546;24;television;bad
29;female;own;3;little;high;683;6;television;good
37;male;free;3;NaN;moderate;12389;36;car;bad
37;male;own;4;NaN;moderate;4712;24;business;good
23;female;rent;3;moderate;moderate;1553;24;television;good
36;male;own;3;little;little;1372;12;car;bad
34;male;own;3;rich;NaN;2578;24;television;good
41;male;own;3;NaN;moderate;3979;48;television;good
31;female;own;3;little;little;6758;48;television;bad
23;female;rent;2;little;little;3234;24;furniture;bad
38;male;own;3;little;NaN;5954;30;television;good
26;female;rent;4;NaN;NaN;5433;24;car;good
22;female;own;2;little;little;806;15;business;good
27;male;own;2;little;moderate;1082;9;television;good
24;female;own;3;little;NaN;2788;15;furniture;good
27;female;own;3;little;moderate;2930;12;television;good
33;female;own;3;NaN;NaN;1927;24;education;good
27;male;own;3;little;moderate;2820;36;car;bad
27;male;own;2;little;NaN;937;24;retraining;good
30;male;own;3;little;moderate;1056;18;car;bad
49;male;own;2;little;moderate;3124;12;car;good
26;female;rent;3;little;NaN;1388;9;furniture;good
33;male;rent;2;little;moderate;2384;36;repairs;bad
52;female;free;4;NaN;NaN;2133;12;car;good
