age,sex,housing,job,savings_account,checking_account,credit_amount,duration,purpose,risk
25,female,rent,3,,little,1371,24,car,bad
37,male,own,3,moderate,moderate,3878,24,car,good
28,male,own,3,little,,2284,24,television,good
27,male,own,3,little,little,4020,24,furniture,good
32,male,own,3,little,,1552,24,television,good
28,male,own,3,little,little,5371,36,furniture,good
23,female,rent,2,little,,601,4,furniture,good
34,female,own,3,little,little,1842,36,car,bad
27,male,own,3,moderate,moderate,4576,45,car,good
33,female,own,2,,,797,12,television,bad
41,male,own,2,little,moderate,888,12,car,bad
57,female,rent,3,rich,little,3622,30,furniture,good
27,female,own,3,little,little,3123,24,car,bad
25,female,rent,3,little,moderate,2969,12,furniture,bad
27,male,own,3,,,1221,6,furniture,good
36,male,own,3,high,,1262,15,domestics,good
39,male,own,2,little,,7228,11,car,good
46,male,own,3,little,high,1343,6,car,good
24,male,own,3,high,,2080,6,car,good
33,male,own,3,little,moderate,6403,24,television,good
44,male,own,3,little,little,1478,15,furniture,good
25,female,rent,3,little,little,1882,18,television,bad
23,male,own,1,,moderate,14555,6,car,bad
28,male,own,3,,moderate,1887,18,business,good
28,female,own,3,little,,1382,6,television,good
48,male,free,3,,,9277,24,car,good
41,male,own,3,little,moderate,6361,18,furniture,good
30,male,own,3,little,,707,12,television,good
50,male,rent,3,high,,1236,6,car,good
54,male,own,3,,,2255,24,car,good
45,male,own,3,little,little,2303,24,car,bad
23,female,own,3,,,996,12,repairs,good
65,male,free,3,little,little,2600,18,television,bad
27,female,own,3,moderate,,1237,6,television,good
31,male,rent,3,little,little,3161,24,business,bad
26,male,rent,3,little,,3518,6,car,good
35,female,own,3,rich,,1592,12,furniture,good
46,male,own,4,,,2476,21,car,good
57,female,own,2,high,high,1258,24,television,good
63,male,free,4,,,13756,60,car,good
24,male,own,3,little,,1800,18,television,good
31,male,own,2,little,,1546,10,car,good
37,female,own,3,little,little,609,6,car,good
29,male,rent,4,moderate,,1901,24,television,good
41,male,own,2,little,,719,12,education,bad
34,male,own,4,moderate,,1591,21,furniture,good
26,male,rent,3,,,2445,12,car,good
20,male,own,3,,little,2996,24,furniture,bad
37,male,own,4,high,,12749,48,television,good
23,female,own,3,little,,1943,18,repairs,bad
42,female,own,3,,moderate,5084,24,television,good
36,male,free,3,,,700,6,television,good
75,female,own,4,,little,1374,6,car,good
64,male,rent,2,little,little,2384,24,television,good
29,female,own,3,little,moderate,959,9,furniture,bad
33,male,own,3,little,,6070,18,television,good
49,male,own,3,moderate,high,1126,9,television,good
33,male,own,3,moderate,little,2359,24,furniture,bad
23,male,own,2,little,moderate,1048,10,television,good
26,male,own,3,little,,5117,27,business,good
31,male,own,3,little,little,4817,24,car,bad
24,female,own,2,little,little,1228,12,car,bad
35,male,own,3,little,,5842,36,car,good
25,male,own,3,,moderate,1484,12,television,bad
63,male,own,3,little,little,2957,24,car,good
33,male,own,3,rich,,1543,6,furniture,good
25,male,own,2,little,moderate,866,18,television,good
39,male,own,3,,little,2212,20,furniture,good
34,male,own,3,little,,1950,18,business,good
42,male,own,3,little,,3331,12,furniture,good
37,male,own,3,little,moderate,802,15,television,bad
24,male,rent,2,little,little,3021,24,furniture,good
34,male,own,4,moderate,moderate,6850,15,car,bad
43,male,own,3,,,4042,24,car,good
63,male,own,3,little,little,6836,60,business,bad
50,male,own,3,,moderate,1537,15,television,good
23,female,rent,2,little,little,3234,24,furniture,bad
58,male,rent,3,little,moderate,15945,54,business,bad
63,male,own,3,,,1520,15,furniture,good
35,female,own,3,little,,1291,12,television,good
40,female,own,3,high,,7678,36,furniture,good
37,male,rent,3,little,little,3676,6,car,good
32,male,own,3,little,,1530,18,car,bad
36,male,own,3,little,moderate,884,18,car,bad
27,male,own,4,little,little,3416,27,television,good
63,male,free,3,little,high,781,10,car,good
41,female,own,2,rich,,250,6,car,good
33,male,rent,4,little,,4844,48,business,bad
29,male,own,2,little,little,3590,12,furniture,good
52,female,own,2,moderate,,362,6,car,good
21,male,rent,2,little,little,1987,24,television,bad
39,female,own,3,little,moderate,1188,21,business,bad
25,female,own,3,little,little,1835,21,television,bad
23,female,rent,3,little,,7127,36,furniture,bad
31,male,own,2,little,moderate,1410,12,retraining,good
55,female,free,1,little,little,1190,18,repairs,bad
27,male,own,1,rich,high,709,6,car,good
49,male,own,2,little,,640,12,car,good
22,female,rent,2,little,,1258,12,furniture,good
30,male,own,4,moderate,little,2249,18,car,good
23,female,rent,3,,little,8471,18,education,good
68,male,free,1,little,moderate,1175,16,car,good
28,female,own,3,little,,1817,18,furniture,good
27,male,own,2,little,,2708,15,furniture,good
32,female,rent,3,,little,1285,24,car,bad
34,male,own,4,little,high,1337,9,television,bad
47,male,own,2,little,,2538,24,car,bad
32,male,free,4,little,,4686,36,car,good
22,male,rent,3,moderate,moderate,3092,24,television,bad
28,male,own,3,little,,3595,36,television,good
22,male,own,2,little,moderate,454,6,repairs,good
38,male,own,4,,,2859,12,car,good
43,male,rent,3,little,little,2625,16,car,bad
34,male,own,3,little,little,3965,42,television,bad
36,male,own,3,little,little,1372,12,car,bad
27,male,own,3,high,moderate,2326,15,business,good
20,male,rent,3,little,moderate,585,12,television,good
65,male,own,3,,,930,12,television,good
36,male,rent,4,moderate,moderate,6967,24,business,good
27,male,rent,3,,,7980,36,business,bad
28,female,rent,3,rich,,2603,24,car,good
54,female,rent,3,little,moderate,7432,36,car,good
37,male,own,3,little,little,3620,36,furniture,good
67,male,own,3,,little,1169,6,television,good
24,male,own,2,little,little,2214,12,television,good
29,male,own,3,moderate,moderate,2896,24,television,good
26,female,rent,4,,,5433,24,car,good
36,female,own,3,little,,1028,18,car,good
35,male,own,3,moderate,,2141,12,television,good
24,male,own,3,,moderate,2030,9,furniture,good
31,male,own,3,,little,6350,30,furniture,bad
25,male,own,3,little,high,5152,24,television,good
37,male,own,2,,high,1344,24,car,bad
46,male,free,3,little,little,6331,48,car,bad
37,male,free,3,little,,1819,36,education,bad
35,male,own,3,high,,2397,24,television,bad
34,male,own,3,rich,moderate,3496,30,furniture,good
25,male,own,3,little,moderate,14421,48,business,bad
28,male,own,3,little,moderate,1068,6,television,good
33,female,own,3,little,moderate,3244,18,furniture,good
26,female,rent,3,little,,1388,9,furniture,good
26,male,own,3,little,little,8229,36,car,bad
24,male,own,2,little,little,1747,24,furniture,good
42,male,own,3,,moderate,2427,18,business,good
74,male,own,2,little,,3448,5,business,good
50,male,free,3,little,moderate,6224,48,education,bad
38,female,own,1,little,,926,12,car,good
47,male,free,3,little,,1984,18,furniture,good
23,male,rent,3,little,moderate,1534,12,television,bad
25,male,own,3,little,little,2136,9,furniture,good
38,male,own,2,little,little,2171,12,car,good
28,female,own,4,moderate,high,2923,21,car,good
43,male,own,3,,,2197,24,car,good
32,female,own,2,moderate,little,1282,24,television,bad
27,male,own,3,moderate,moderate,1995,12,car,good
20,male,own,3,little,,1313,9,furniture,good
44,male,own,3,little,little,1553,18,furniture,bad
64,male,own,2,,,3832,9,education,good
26,male,own,3,moderate,little,1382,24,business,good
28,female,rent,3,moderate,moderate,2631,15,car,bad
45,male,own,2,,,1287,10,car,good
34,male,own,2,moderate,,1569,15,television,good
44,female,own,3,,,5943,24,television,bad
23,female,rent,3,little,little,1442,24,car,bad
23,male,own,3,little,moderate,15672,48,business,bad
49,female,own,3,little,moderate,1092,12,television,good
37,male,own,3,little,high,1225,10,domestics,good
30,male,own,4,little,little,1823,24,television,bad
35,female,own,4,little,,1393,11,car,good
29,male,rent,3,little,little,11816,45,business,bad
57,male,free,3,little,moderate,2225,36,car,bad
52,male,own,2,little,little,2315,10,television,good
36,male,own,2,little,little,1374,6,furniture,good
44,female,own,2,little,moderate,760,8,television,good
66,male,free,4,little,little,1526,12,car,good
26,female,own,3,little,moderate,9960,48,furniture,bad
33,female,own,3,little,,2831,30,television,good
46,male,own,3,little,little,697,12,car,bad
36,male,own,4,little,,3275,21,car,good
35,male,own,3,little,moderate,2576,7,television,good
58,female,own,2,little,little,1755,24,car,good
23,male,rent,2,high,,660,6,repairs,good
49,female,own,3,little,little,428,6,furniture,good
31,male,own,3,little,,2775,18,car,bad
23,female,own,3,moderate,,3812,15,car,good
33,male,own,3,moderate,,1474,24,car,good
49,male,own,3,little,moderate,8386,30,furniture,bad
34,male,own,3,little,little,6999,48,television,bad
22,male,free,3,little,little,3973,14,car,good
36,male,own,3,high,high,2360,15,car,good
32,male,own,3,,,2978,24,business,good
34,male,own,3,rich,,2578,24,television,good
35,male,own,3,moderate,,2753,9,television,good
26,female,rent,4,little,,4530,30,television,good
58,female,free,2,little,little,6143,48,car,bad
37,male,own,3,,,7409,36,business,good
24,female,rent,3,little,little,2124,18,furniture,bad
25,female,own,3,little,little,3509,18,television,good
40,male,own,4,,little,1977,36,education,bad
24,female,own,3,little,little,3190,18,television,bad
35,male,own,2,rich,moderate,1941,18,business,good
36,male,own,2,little,moderate,4241,24,business,bad
36,male,own,3,,,6742,30,television,good
45,male,own,4,little,little,8978,14,car,bad
45,male,own,4,little,,6761,6,car,good
50,male,own,3,little,,1559,24,business,good
31,male,own,3,little,high,4473,36,television,good
27,female,own,3,little,,1185,12,business,good
22,female,rent,3,little,,433,18,television,bad
25,male,rent,3,high,moderate,3213,18,television,good
31,male,own,3,little,little,3104,18,business,good
60,male,free,3,little,,2032,24,car,good
36,male,own,3,little,,4165,18,business,bad
46,male,own,4,,,6842,24,car,good
31,female,own,2,little,,1736,12,furniture,good
38,male,own,3,,moderate,368,6,television,good
56,male,own,3,little,,618,12,television,good
24,female,rent,2,,,4811,30,car,good
41,female,rent,2,,,1244,9,education,good
40,male,own,2,little,little,1361,6,car,good
35,male,free,2,,,9055,36,education,good
37,male,free,3,,moderate,12389,36,car,bad
35,male,own,3,,moderate,3976,21,furniture,good
33,female,own,4,little,high,1474,12,furniture,good
47,male,own,2,little,little,731,8,car,good
27,male,own,3,little,little,1053,15,television,good
36,male,rent,4,,moderate,7057,20,car,good
22,male,own,3,rich,moderate,1007,12,car,good
29,female,rent,1,little,little,1193,24,car,bad
44,female,free,4,little,moderate,12579,24,car,bad
23,male,own,3,,little,900,12,car,bad
26,male,own,3,little,little,1345,18,television,bad
32,male,own,3,rich,moderate,2745,21,furniture,good
25,male,own,2,little,moderate,685,12,car,bad
43,female,own,2,rich,,1516,24,television,good
29,male,own,3,moderate,moderate,1437,9,car,bad
36,male,free,4,little,little,1872,6,furniture,good
28,female,own,3,little,moderate,4221,30,business,good
41,male,rent,3,little,,1503,12,car,good
51,male,free,3,,little,7511,18,car,bad
31,male,own,2,little,moderate,1521,10,furniture,good
57,female,own,2,moderate,,1154,11,television,good
42,male,own,2,little,,1503,4,television,good
23,female,own,3,little,little,1498,12,television,good
22,male,own,3,little,,1478,9,television,bad
31,male,own,3,little,moderate,1935,24,business,bad
30,male,own,3,little,moderate,639,12,repairs,bad
44,male,own,3,high,,1163,12,car,good
33,male,own,3,little,,5150,24,furniture,good
25,male,rent,2,little,,2210,10,furniture,bad
25,male,own,3,little,little,975,15,furniture,good
28,female,own,3,high,,1376,24,television,good
67,female,own,4,little,moderate,1199,9,education,good
40,male,own,2,little,little,3939,11,car,good
42,male,own,3,high,,522,12,television,good
27,female,own,3,little,moderate,2930,12,television,good
35,female,own,2,little,little,10722,47,car,good
60,male,own,4,,moderate,6468,20,car,good
50,male,own,3,little,little,5293,27,business,bad
20,male,rent,4,little,little,1107,12,television,good
22,female,own,3,moderate,little,741,12,domestics,bad
28,male,own,3,little,,2169,18,business,bad
23,female,own,4,little,high,1961,18,car,good
49,male,own,2,,little,1262,12,furniture,good
33,male,rent,3,little,high,2319,21,education,bad
40,female,own,3,rich,moderate,1322,11,car,good
75,male,free,4,little,little,6615,24,car,good
23,female,rent,3,little,,2146,10,furniture,good
53,male,free,4,little,little,7865,12,furniture,bad
51,male,own,3,little,moderate,4771,11,television,good
23,male,rent,3,little,high,1297,12,television,good
27,male,own,4,little,,6314,24,car,good
24,female,rent,3,little,little,4308,48,business,bad
45,male,own,4,moderate,,8588,39,car,good
30,male,free,3,moderate,moderate,3069,24,furniture,good
23,female,rent,3,little,little,2406,30,furniture,bad
23,male,rent,3,rich,,3368,15,car,good
49,male,rent,3,,,5801,12,furniture,good
27,male,free,4,little,little,1422,9,car,bad
31,male,own,3,,,929,24,furniture,good
67,female,own,3,little,moderate,3872,18,repairs,good
20,male,own,3,moderate,little,674,12,television,bad
28,female,own,2,little,high,745,9,television,bad
23,female,own,3,little,high,1275,10,furniture,good
22,female,rent,3,little,little,3650,18,furniture,good
39,male,own,2,little,,426,6,television,good
50,male,own,3,,,2390,12,car,good
27,male,own,2,,,1309,10,car,bad
26,male,own,3,little,high,4210,36,television,bad
35,male,rent,2,moderate,,1418,10,car,good
44,male,own,2,little,moderate,6204,18,repairs,good
28,male,own,3,rich,little,2659,18,furniture,good
35,male,own,2,little,,2684,24,television,good
29,female,rent,2,little,little,1659,24,television,bad
50,female,own,2,little,high,1047,6,education,good
23,male,own,2,little,moderate,1246,24,car,bad
29,male,own,3,little,little,6887,36,education,bad
26,female,own,3,little,,763,12,furniture,good
27,female,own,3,little,,1449,9,business,good
40,male,own,3,high,,2675,22,television,good
24,female,own,2,little,little,626,12,television,bad
46,male,rent,2,,,730,7,television,good
25,female,own,2,little,moderate,4736,24,furniture,bad
24,female,own,3,little,little,4272,20,furniture,good
20,female,rent,2,little,moderate,2718,24,car,bad
22,female,own,2,little,little,806,15,business,good
24,female,rent,3,,little,1275,15,domestics,bad
57,female,rent,4,rich,little,1231,24,television,good
36,male,own,3,moderate,,2872,24,television,good
33,male,own,3,little,moderate,1245,18,television,bad
32,male,own,3,moderate,little,2325,24,car,good
65,female,own,1,little,,1098,18,television,good
25,female,own,3,,moderate,2762,12,furniture,bad
44,male,own,3,high,,2375,24,business,good
40,male,free,1,,moderate,5381,48,car,good
26,male,rent,3,little,high,2687,15,business,good
55,male,own,3,little,little,6872,24,furniture,bad
31,male,own,2,moderate,moderate,9857,36,business,good
39,male,free,4,little,little,3249,36,car,good
46,female,own,2,little,high,2251,12,furniture,good
26,female,own,3,high,,1386,12,car,bad
28,male,own,2,little,little,1797,13,business,good
43,female,own,2,little,,1459,15,television,good
70,male,free,4,little,moderate,7308,10,car,good
39,male,own,2,moderate,moderate,1037,12,business,good
43,male,own,4,little,little,15857,36,car,good
27,male,own,3,rich,,8613,27,car,good
35,male,own,3,little,little,691,12,car,bad
29,female,own,3,rich,little,3357,21,television,good
38,male,own,2,little,,1495,12,car,good
43,male,own,3,little,,1935,12,furniture,good
23,female,own,3,high,little,4281,33,furniture,bad
38,female,own,3,,,1240,12,television,good
26,female,own,2,little,moderate,1113,18,television,good
40,male,own,4,little,moderate,7374,18,furniture,good
25,female,own,4,little,little,8065,36,education,bad
26,male,own,3,little,moderate,1424,12,domestics,good
46,male,own,3,little,little,2348,36,furniture,good
30,male,own,4,,,11054,36,car,good
43,male,own,3,,moderate,2899,18,car,good
31,male,own,3,,high,3148,24,television,good
34,male,own,3,little,,2320,18,television,good
32,male,own,3,little,,701,12,education,good
20,male,rent,3,,high,3617,24,furniture,good
30,male,rent,3,little,moderate,2002,12,car,good
52,male,own,4,,moderate,6468,12,television,bad
39,male,own,4,little,,6458,18,car,bad
30,male,own,3,little,little,1602,21,car,good
36,female,own,3,little,high,2247,12,car,good
33,male,own,3,little,,1478,15,television,good
25,female,rent,3,little,moderate,1295,12,car,bad
50,male,own,3,rich,,3777,24,furniture,good
23,female,rent,1,high,moderate,3758,24,television,good
38,male,own,4,little,,7814,24,car,good
51,female,own,3,moderate,,682,12,car,good
24,male,rent,2,little,little,1546,24,television,bad
36,male,own,3,,moderate,2181,30,car,good
30,male,own,4,little,,1820,18,car,good
28,female,own,3,moderate,,2073,12,television,good
31,male,own,3,rich,little,3651,12,car,good
46,female,rent,3,little,little,1845,15,furniture,good
65,male,own,1,little,little,3394,42,repairs,good
30,male,own,2,little,,2028,24,furniture,good
29,female,own,4,little,,2679,24,car,good
47,male,own,3,,,3578,48,television,good
28,male,own,3,rich,,2142,11,business,good
46,male,own,4,,,7629,48,business,good
28,female,rent,4,little,little,2606,21,television,good
35,male,own,2,moderate,little,4380,18,car,good
31,female,own,3,little,little,1957,6,television,good
33,male,own,4,little,moderate,4439,18,business,good
39,male,own,4,little,,1884,12,car,good
32,male,own,3,,,7238,48,television,good
25,male,own,2,little,little,1138,9,television,good
27,female,own,3,little,moderate,1295,18,furniture,good
27,male,own,2,little,,802,14,car,good
33,male,rent,3,little,little,2235,20,car,bad
29,male,free,3,little,little,2149,12,television,bad
35,male,own,2,little,,4679,24,car,good
37,male,own,2,little,high,3949,10,car,good
20,female,own,3,rich,moderate,1577,11,furniture,good
39,female,own,2,rich,little,666,6,car,good
56,female,own,3,little,,1538,6,education,good
30,female,own,4,,little,7174,42,television,bad
30,female,own,3,rich,,960,15,furniture,good
25,female,own,2,little,high,2327,15,television,bad
46,male,own,3,little,,2611,24,television,good
35,female,free,3,high,,5324,15,car,good
48,male,own,3,moderate,little,1288,9,repairs,good
27,male,own,3,little,little,1657,12,furniture,good
29,female,own,3,little,little,3499,12,car,bad
62,male,own,3,high,,1338,6,domestics,good
42,male,free,3,,,10477,36,car,good
36,male,own,4,high,moderate,2366,12,car,good
23,female,rent,4,little,moderate,11560,24,car,bad
36,male,own,3,rich,moderate,1913,18,business,good
32,male,own,4,little,little,1880,18,television,good
28,female,rent,3,little,little,1403,15,car,good
27,male,own,3,little,moderate,2820,36,car,bad
39,male,own,3,little,little,2522,30,television,good
49,male,own,2,little,,2096,12,education,good
46,male,free,3,little,little,3931,48,car,bad
23,female,own,2,moderate,moderate,836,12,car,bad
31,male,own,4,little,,2406,9,furniture,good
25,female,own,3,,moderate,2991,30,television,good
25,female,own,3,little,,7855,36,car,bad
26,male,own,3,high,moderate,1158,12,television,good
54,male,free,3,little,,1597,24,education,good
42,male,free,3,moderate,,1346,6,television,good
32,male,rent,3,high,,3062,24,furniture,good
21,female,rent,3,little,little,1049,18,furniture,good
25,male,own,3,,,999,24,television,good
26,male,own,4,little,,4463,36,television,bad
27,female,rent,3,moderate,moderate,951,12,furniture,bad
29,male,own,3,little,little,5179,36,furniture,bad
45,male,own,3,little,,10875,36,car,good
47,male,own,3,little,moderate,2353,21,car,good
24,male,own,3,high,,2569,39,car,good
24,male,own,2,,little,3763,21,car,good
44,female,free,4,little,little,6419,24,car,good
34,male,own,3,little,moderate,5800,36,car,good
29,female,rent,3,rich,moderate,7758,24,car,good
24,female,own,4,moderate,moderate,7408,60,car,bad
49,male,free,3,,little,2964,24,car,good
34,male,free,2,moderate,moderate,3844,48,business,bad
22,female,rent,3,little,little,3632,24,car,good
31,male,own,2,little,little,3108,30,furniture,bad
24,male,own,3,little,high,5848,36,television,good
50,female,free,3,moderate,moderate,2671,36,television,bad
38,male,own,2,little,little,708,12,furniture,good
27,male,own,3,,moderate,3711,36,education,good
27,male,own,3,little,moderate,3652,21,business,good
42,male,free,3,little,little,5493,36,car,good
35,male,own,3,,,976,12,television,good
31,male,free,3,little,,6110,48,education,good
42,male,own,2,little,,1455,4,car,good
30,male,own,3,,moderate,2028,12,car,good
31,female,own,3,moderate,,1532,15,education,good
40,male,rent,2,little,little,684,12,education,bad
35,male,free,3,,,8858,48,car,good
39,male,own,3,high,,2299,36,television,good
19,female,rent,2,rich,moderate,983,12,furniture,good
30,male,free,3,high,little,3349,24,furniture,bad
28,male,rent,3,little,little,6199,12,television,bad
28,male,free,3,little,,3343,15,furniture,good
39,male,rent,4,little,little,3345,24,furniture,bad
24,female,rent,3,little,little,652,12,furniture,good
55,male,own,3,rich,,1413,12,car,good
23,female,rent,2,little,little,6229,36,furniture,bad
45,male,free,3,,,1300,15,car,good
44,female,rent,2,little,high,1881,12,television,good
32,male,own,2,little,,1231,10,car,good
35,female,free,3,little,little,1198,6,education,bad
30,male,own,3,moderate,moderate,3566,48,business,good
35,male,own,3,high,little,1680,12,television,good
38,male,own,2,little,moderate,1308,15,repairs,good
42,female,rent,3,rich,high,409,12,television,good
40,male,own,3,little,,1585,24,furniture,good
25,female,rent,3,,,1283,22,car,good
38,male,free,4,little,little,10623,30,car,good
23,female,own,3,moderate,,3488,24,car,good
31,female,own,3,little,little,6758,48,television,bad
34,male,own,3,little,moderate,2415,7,television,good
23,female,rent,3,little,high,392,15,education,good
42,male,own,2,little,,1544,4,television,good
36,male,rent,3,little,little,7297,60,business,bad
48,male,rent,2,little,little,2241,10,car,good
59,female,own,3,,,5045,15,car,good
53,male,free,3,little,little,7119,48,furniture,bad
23,female,rent,3,little,,1236,9,domestics,good
48,male,own,2,little,moderate,1743,24,television,good
27,female,own,2,little,little,3643,15,furniture,good
55,male,free,3,rich,,1555,12,repairs,bad
33,female,rent,2,,,2186,15,furniture,good
51,male,free,3,little,high,2892,24,furniture,good
39,male,own,4,little,moderate,11938,24,car,bad
26,female,own,1,little,high,609,12,business,bad
38,male,own,3,little,,1924,10,television,good
35,male,own,4,little,moderate,1050,6,furniture,good
43,male,free,3,little,little,1333,24,car,bad
30,female,own,4,little,moderate,4795,36,television,good
41,male,own,4,,,6313,24,car,good
41,female,own,2,little,moderate,5954,42,business,good
55,female,own,3,little,little,1603,24,television,good
29,female,own,3,little,,518,6,television,good
46,male,own,3,little,,1829,15,television,good
29,male,own,3,little,moderate,2629,20,car,good
40,female,rent,3,little,moderate,3001,18,furniture,good
21,male,rent,3,moderate,moderate,3031,45,television,bad
34,female,own,3,little,,4454,36,television,good
27,male,own,3,little,,3850,18,car,good
36,male,rent,3,little,little,2799,9,car,good
24,female,own,3,,moderate,8487,48,car,good
32,male,free,3,rich,moderate,1136,9,education,bad
36,male,own,4,little,,1278,24,television,good
74,male,own,4,little,,4526,24,business,good
63,male,own,3,little,little,2924,24,car,good
35,male,own,3,high,moderate,1410,14,business,good
38,male,free,3,,moderate,6681,48,business,good
28,female,rent,3,high,moderate,4113,24,car,bad
25,female,rent,3,little,,3972,24,furniture,good
34,male,own,4,little,moderate,1860,12,car,good
64,female,own,3,little,,1364,10,car,good
26,female,own,3,,moderate,1715,30,television,good
38,male,free,3,little,high,947,24,car,bad
23,female,rent,3,moderate,moderate,1553,24,television,good
24,male,own,3,little,high,3016,12,television,good
47,male,own,3,little,high,3017,30,television,good
41,male,own,3,,moderate,3979,48,television,good
37,male,own,4,,high,3399,12,television,good
23,female,own,2,little,moderate,3573,12,television,good
58,male,own,3,,,1867,30,television,good
40,male,own,4,little,little,3857,30,car,good
49,male,own,2,little,moderate,3124,12,car,good
23,female,own,2,little,little,976,18,car,bad
35,male,own,4,little,,3780,18,furniture,good
29,female,rent,2,high,,1123,12,furniture,bad
25,female,own,2,moderate,moderate,2631,15,repairs,good
26,female,rent,2,moderate,moderate,4280,30,business,bad
35,female,own,3,,little,1381,24,car,bad
42,male,own,3,little,little,3446,36,furniture,bad
51,male,own,3,little,,1595,6,television,good
30,male,own,3,little,,1224,9,car,good
31,male,rent,3,little,little,2302,36,television,bad
30,female,own,4,little,moderate,5096,48,furniture,bad
26,male,own,3,little,little,3414,21,education,bad
33,female,own,3,,,1927,24,education,good
26,female,rent,3,,little,2812,24,car,good
61,male,own,2,rich,,3059,12,television,good
26,male,own,3,moderate,,1311,24,television,good
28,male,own,3,moderate,high,1323,6,car,good
31,male,own,3,moderate,moderate,6148,20,car,good
35,male,rent,3,moderate,,1204,6,car,good
25,male,own,3,,,3105,24,television,good
38,male,own,3,,moderate,754,12,retraining,good
58,female,own,2,little,little,385,12,television,good
28,male,own,3,little,,1413,24,television,good
26,male,own,3,little,high,1925,24,furniture,good
28,female,own,3,little,little,3660,24,television,good
47,male,own,2,little,little,1217,18,domestics,bad
27,female,own,3,little,,3609,48,business,good
42,female,free,4,little,moderate,8318,27,business,bad
34,female,free,2,little,moderate,1837,24,education,bad
32,male,own,3,little,little,4583,30,furniture,good
66,male,own,2,high,moderate,766,12,television,bad
29,male,own,4,little,moderate,11328,24,car,bad
62,female,free,3,little,,3757,24,car,good
48,female,rent,2,little,moderate,1795,18,television,good
24,female,rent,3,rich,moderate,433,6,education,bad
56,male,free,3,little,high,4796,42,car,good
35,male,own,3,moderate,,4151,24,furniture,good
44,male,rent,3,high,little,2647,6,television,good
30,male,free,3,moderate,moderate,2862,36,car,good
22,female,own,3,little,,1808,18,furniture,bad
29,female,own,3,little,little,3959,15,car,bad
30,female,own,3,high,moderate,8358,48,car,good
23,male,rent,3,little,little,4110,24,furniture,bad
40,male,own,4,,little,1358,24,car,bad
42,female,rent,3,,moderate,1965,24,car,good
24,female,free,3,little,moderate,5743,24,education,good
47,female,free,3,moderate,high,1377,24,television,good
48,male,own,3,,,5190,27,repairs,good
37,male,own,3,,,10222,48,television,good
29,male,rent,3,,,7166,42,television,good
54,male,own,3,rich,moderate,1318,12,car,good
34,male,own,4,little,,6614,36,car,good
25,female,own,3,,,2394,36,television,good
28,male,own,3,little,,9572,36,business,bad
36,female,own,2,rich,,1572,21,business,good
37,female,own,3,little,,2022,24,car,good
43,male,own,4,little,little,2442,27,business,good
31,male,own,3,little,,1360,15,television,good
26,female,rent,2,little,little,3599,21,furniture,good
46,female,own,2,little,,3594,15,car,good
22,male,own,3,little,moderate,2039,24,television,bad
40,male,own,3,,,3077,30,television,good
38,male,own,3,little,,5954,30,television,good
37,male,own,2,little,moderate,2118,9,television,good
32,male,own,2,rich,,4526,27,furniture,good
23,male,own,3,,moderate,1444,15,television,good
48,male,own,3,little,,2134,9,car,good
30,male,own,3,little,,4657,15,car,good
36,male,own,3,,,3079,36,car,good
34,male,own,2,little,little,11998,30,repairs,bad
34,female,own,4,little,moderate,2064,24,furniture,bad
47,male,free,3,moderate,moderate,12612,36,education,bad
